breed,breed_info_text
australian-shepherd,"Despite their name, the Australian Shepherd dog breed originated in the western United States, not Australia, around the time of the Gold Rush in the 1840s. Originally bred to herd livestock, they remain a working dog at heart."
australian-shepherd-husky,The Australian Shepherd Husky is a mixed breed dog — a cross between the Australian Shepherd and Siberian Husky dog breeds. These active dogs are protective and loyal and inherited some of the best traits from both of their parents.
australian-shepherd-lab-mix,"The Australian Shepherd Lab Mix is a mixed breed dog — a cross between the Australian Shepherd and the Labrador Retriever dog breeds. Medium in size, energetic, and loyal, these pups inherited some amazing traits from both of their parents."
australian-shepherd-pit-bull-mix,"The Australian Shepherd Pit Bull Mix is a mixed breed dog — a cross between the Australian Shepherd and Pit Bull dog breeds. Energetic, loyal, and quick to learn new things, these pups inherited some of the best traits from both of their parents."
australian-stumpy-tail-cattle-dog,"The Australian Stumpy Tail Cattle Dog, named for their characteristic short or sometimes non-existent tail, is a descendant of wild dingoes and domesticated herding dogs from the late 19th century. Although similar to the popular Australian Cattle Dog, the Australian Stumpy Tail Cattle Dog is leaner, tailless, and more alert when it comes to strangers and new situations."
australian-terrier,"The Australian Terrier was developed in Australia, as their name implies. Bred to hunt rodents and snakes, Australian Terriers were also prized as watchdogs and companions. Today, the breed maintains those same traits: they’re delightful companions, fierce earthdog competitors, and conformation and obedience showdogs."
azawakh,"A dog breed named for the Azawakh Valley in the Sahara desert where they originated, this is a lean and swift hunter with a regal presence. They’re proud but loyal and protective of their home and family."
barbet,This woolly sporting dog breed is fun-loving and smart. The Barbet was bred for retrieving waterfowl for hunters — and has the webbed feet to prove it — but they’re also a talented agility competitor in their native France.
basenji,"Out of Africa, the Basenji dog breed was originally found in the Congo. These dogs use both scent and sight to hunt and were originally used to flush small game into hunters’ nets and to control village rodent populations. These days, they also make for great, loving, furry family members."
bassador,"The Bassador is a mixed breed dog–a cross between the Basset Hound and the Labrador Retriever dog breeds. Loyal, sometimes stubborn, and always sniffing around, these pups inherited some of the best traits from both of their parents."
basset-fauve-de-bretagne,"The Basset Fauve de Bretagne is a purebred dog from France. These pups are intelligent, friendly, and active, which are great qualities for a hound dog."
basset-hound,"The Basset Hound dog breed was bred for hunting small game such as rabbits and is still used for this purpose in some parts of the United States. When they’re not on the trail of a bunny, they’re laid-back family friends who love kids."
basset-retriever,"The Basset Retriever is a mixed breed dog–a cross between the Basset Hound and Golden Retriever dog breeds. Friendly, affectionate, and intelligent, these pups inherited some of the best qualities from both of their parents."
bavarian-mountain-scent-hound,"The Bavarian Mountain Scent Hound is a purebred dog originally from Germany. These pups are loyal, intelligent, and reserved, which are some of the best traits for a Hound dog breed."
beabull,"The Beabull is a mixed breed dog — a cross between the Beagle and the English Bulldog breeds. Loyal, curious, and loving, these pups inherited some of the best qualities from both of their parents."
beagle,"Small, compact, and hardy, Beagles are active companions for kids and adults alike. Canines of this dog breed are merry and fun loving, but being hounds, they can also be stubborn and require patient, creative training techniques."
beaglier,"The Beaglier is a mixed breed dog — a cross between the Beagle and Cavalier King Charles Spaniel dog breeds. Compact, energetic, and loyal, these pups inherited some of the best qualities from both of their parents."
bearded-collie,"The Bearded Collie dog breed was developed in Scotland to herd sheep and cattle in any weather or terrain. They function today as excellent family companions, show dogs, working sheepdogs, or even all three."
bedlington-terrier,"The Bedlington Terrier dog breed originated as a killer of vermin and hunter’s sidekick. Today Bedlingtons excel as companions and in the show ring. Although they still have excellent hunting instincts, a keen sense of smell, and the will to go to ground, they are rarely used in the field."
belgian-malinois,"Canines of the Belgian Malinois dog breed were originally bred to be herding dogs. Today, they also work as police and military dogs, protection dogs, and loving family members."
belgian-sheepdog,"The medium-sized Belgian Sheepdog is a herding dog breed that originated in Belgium where these dogs were used to herd sheep. They later graduated to police work, and today their versatility makes them suitable for many jobs and dog sports."
belgian-tervuren,"Created in Belgium in the late 19th century, the Belgian Tervuren dog breed is often considered to be the most elegant of the four Belgian sheepdogs. They’re intelligent and athletic, making them a versatile performer in any number of activities, including their original job, herding."
bergamasco-sheepdog,"An ancient breed, the Bergamasco Sheepdog was developed by shepherds as herding and guarding dogs. Today, the intelligent breed, most famous for their unique matted, mop-like coats, is known as a friendly and social companion and show dog."
berger-picard,"Also known as the Picardy Shepherd, the Berger Picard dog breed is thought to be the oldest of the French sheepdogs. Their scruffy looks and lively intelligence have won them plenty of fans over the centuries, and more recently, they’ve won movie roles."
bernedoodle,"Clever, goofy, gentle, and loyal. Bernedoodle fans boast that this mixed breed has the best of both worlds from its Bernese Mountain Dog and Poodle parents."
bernese-mountain-dog,"The Bernese Mountain Dog is an extremely versatile working dog from the farmlands of Switzerland. They were developed to herd cattle, pull carts, and be watchdogs and loyal companions. They’re one of four types of Swiss Mountain Dogs, and the only one with long hair."
bichon-frise,"The Bichon Frise (pronounced BEE-shawn FREE-say; the plural is Bichons Frises) is a cheerful, small dog breed with a love of mischief and a lot of love to give. With their black eyes and fluffy white coat, the Bichon looks almost like a child’s toy."
biewer-terrier,"The Biewer Terrier is a rare purebred dog created through the occurrence of a recessive piebald gene in two Yorkshire Terriers. These dogs are friendly, playful, and energetic, which are some of their best qualities."
black-and-tan-coonhound,"Born in the USA, the outgoing and friendly Black and Tan Coonhound is a versatile companion who shines in the show ring and field. At home, they’re a superb playmate, jogging or walking companion, and bed warmer."
black-mouth-cur,"Energetic, fearless, and strong, the Black Mouth Cur is valued as an all-around working dog bred to help farmers and hunters in the rugged terrain of the southeastern United States."
black-russian-terrier,"These majestic black beauties are highly intelligent, confident guard dogs who aren’t actually true terriers. Relatively new and still a rare dog breed, the Black Russian Terrier is a working dog who can protect a home or business, play with the family’s children, and excel in agility and obedience competition."
bloodhound,"The Bloodhound’s ancestors were created in medieval France to trail deer and boar. Today, this is a highly active and intelligent dog breed whose keen sense of smell has found them a special place in law enforcement and search and rescue. Their fans love them for their sweet nature and unique appearance."
blue-lacy,"The Blue Lacy, also called the Lacy Dog, is an energetic, intelligent, and trainable breed that loves having a job to do and a lot of open space to run around."
bluetick-coonhound,"Fast and muscular, the Bluetick Coonhound dog breed stands out for their striking coat. They have a pleasantly pleading expression and a big bawl mouth — meaning they have a long, drawn out bark. Although they’re a hunter first and foremost, the Bluetick can be a fine housedog and loves their people."
bocker,"The Bocker is a mixed breed dog — a cross between the Cocker Spaniel and Beagle dog breeds. Small, affectionate, and curious by nature, these pups inherited some of the best qualities from both of their parents."
boerboel,"At first glance, you might think the large, intimidating Boerboel would make an excellent guard dog, and you’d be correct. However, this breed is equally known for being loving, calm, and family-friendly, especially towards human children."
boglen-terrier,"The Boglen Terrier is a mixed breed dog — a cross between the Beagle and Boston Terrier dog breeds. These dogs are known to be playful, spunky, loyal, and often times, stubborn. This lovable and perky mix has proven to become quite popular among owners from various backgrounds. "
bohemian-shepherd,"The Bohemian Shepherd dog breed originated in the Czech Republic around the 1300s in the Chodsko region, hence why these dogs were commonly called the Chodský pes. They were first used as guard dogs and as herding dogs. Today, they make great family pets who will protect and watch over their humans."
bolognese,"A true companion dog, the Bolognese dog breed loves to be at their family’s side. However, they also loves getting their way and can be quite crafty about it, so be careful — you could find yourself being manipulated by a ten-pound furball."
borador,"The Borador is a mixed breed dog — a cross between the Border Collie and Labrador Retriever dog breeds. Outgoing, curious, and energetic, these pups inherited some of the best qualities from both of their parents."
border-collie,"The Border Collie dog breed was developed to gather and control sheep in the hilly border country between Scotland and England. They’re known for their intense stare, or “eye,” with which they control their flock. They’re dogs with unlimited energy, stamina, and working drive, all of which make them a premier herding dog; Border Collies are still used today to herd sheep on farms and ranches around the world."
border-sheepdog,"The Border Sheepdog is a mixed breed dog — a cross between the Border Collie and Shetland Sheepdog breeds. Energetic, intelligent, and playful, these pups inherited some of the best traits from both of their parents."
border-terrier,"The alert, good-natured Border Terrier was originally bred to assist in foxhunts by driving foxes out of their hiding places and out into the open for the hounds to chase. Nowadays, they make great family members who adore their humans."
bordoodle,"The Bordoodle is a mixed breed dog — a cross between the Border Collie and Poodle dog breeds. Friendly, playful, and intelligent, these pups inherited some of the best qualities from both of their parents."
borzoi,"The Borzoi dog breed was developed in Russia as a coursing and hunting dog. These hounds hunted in teams of three to go after rabbit, foxes, and wolves. They later became popular as a companion for royalty across continental Europe."
boshih,"The BoShih is a mixed breed dog — a cross between the Shih Tzu and Boston Terrier breeds. Small, inquisitive and affectionate, these pups inherited some of the best qualities from both of their parents."
bossie,"The Bossie is a mixed breed dog — a cross between the Boston Terrier and Australian Shepherd dog breeds. Medium in size, energetic, and loyal, these pups inherited some of the best qualities from both of their parents."
boston-boxer,"The Boston Boxer is a mixed breed dog–a cross between the Boston Terrier and Boxer dog breeds. Friendly, intelligent, and playful, these pups inherited some of the best traits from both of their parents."
boston-terrier,"The Boston Terrier has been popular since their creation a little more than a century ago. They were originally bred to be fighting dogs, but today, they’re gentle, affectionate companions with tuxedo-like markings that earned them the nickname “American Gentleman.”"
boston-terrier-pekingese-mix,"The Boston Terrier Pekingese Mix is a mixed breed dog — a cross between the Boston Terrier and Pekingese dog breeds. Compact, smart, and loyal, these pups inherited some of the best qualities from both of their parents."
bouvier-des-flandres,"The Bouvier des Flandres was originally bred to be a versatile farm dog. They helped farmers in a multitude of tasks, including herding livestock (particularly cattle), pulling carts, and guarding. The hard-working and intelligent Bouvier is still an ideal farm dog, as well as a capable service, assistance, law enforcement, and guard dog."
boxador,"The Boxador is a mixed breed of dog–a cross between the Boxer and Labrador Retriever dog breeds. Medium to large in size, intelligent, and totally devoted to their families, these pups inherited some of the best qualities from both of their parents."
boxer,"Boxer dogs were originally bred to be medium-size guard dogs. Today, although they are a part of the AKC’s Working Group, Boxers mostly find homes as loving family companions. That said, they still retain their high energy levels and need plenty of exercise."
boxerdoodle,"The Boxerdoodle is a mixed breed dog — a cross between the Boxer and Poodle dog breeds. Friendly, smart, and playful, these pups inherited some of the best qualities from both of their parents."
boxmatian,"The Boxmatian is a mixed breed dog — a cross between the Boxer and Dalmatian dog breeds. Playful, goofy, and protective, these pups inherited some of the best qualities from both of their parents."
boxweiler,"The Boxweiler is a mixed breed dog—a cross between the Boxer and Rottweiler dog breeds. Loving, loyal, and bright, these pups inherited some of the best qualities from both of their parents."
boykin-spaniel,"Dogs of the Boykin Spaniel breed are known for their hunting skills, but they make just as good companions to families as to hunters, thanks to their smarts and their friendly confidence. The family should be an active one, however; this dog needs lots of exercise."
bracco-italiano,"In their native Italy, the Bracco Italiano is known as a hunting dog breed, but they’re also gaining notice as a sweet and affectionate family companion. With their long ears, droopy lips, and soulful expression, the Bracco Italiano has a distinctive look. They’re believed to be an ancient breed, dating back to the fourth or fifth century B.C."
braque-du-bourbonnais,"The Braque du Bourbonnais is an ancient purebred pointing dog originally from the country of France. Affectionate, calm, and intelligent, these pups have some of the best qualities of any dog breed out there today."
briard,"Underneath the Briard’s long, shaggy coat lies a bold spirit and keen intelligence. True to their French roots, they can be aloof with strangers, but are affectionate and loving toward members of their pack."
brittany,"Brittanys were bred as gundogs, and they definitely have birds on the brain. Although they’re often called Brittany Spaniels, the American Kennel Club dropped the word “spaniel” from this pointing breed’s name in 1982."
broholmer,"The Broholmer is a large purebred dog from Denmark in northern Europe. Calm, protective, and friendly, this pup has some of the best qualities of any dog breed around!"
brussels-griffon,"Originally bred to hunt and kill rats, this former Belgian street dog is a distinctive and unusual dog breed. Although the Brussels Griffon is small, they’re hardly a pampered pooch. Affectionate and lively, their intelligence, sense of humor, and air of self-importance keep them one step ahead of their people, who adore their pups anyway."
bugg,"The Bugg is a mixed breed dog — a cross between the Boston Terrier and Pug dog breeds. Intelligent, affectionate, and spunky, these pups inherited some of the best traits from both of their parents."
bull-arab,"The Bull Arab is a hybrid breed dog with ancestry linked to the English Bull Terrier, Greyhound, shorthair Pointers, and later, larger breeds like the Mastiff and Great Dane. Strong, loyal, and active, the Bull Arab inherited some of the best qualities from their lineage."
bull-pei,"The Bull-Pei is a mixed breed dog–a cross between the Chinese Shar-Pei and English Bulldog breeds. Medium in size, loving, and loyal, these pups inherited some of the best traits from both of their parents."
bull-terrier,"The Bull Terrier was originally developed in the 19th century as a fighting dog and, later, a fashionable companion for gentlemen, but these days they’re a family companion and show dog. They’re a dog breed distinguished by their long, egg-shaped head."
bullador,"The Bullador is a mixed breed dog–a cross between the Labrador and English Bulldog breeds. These pups fall into the medium-to-large size range. Active and loyal, Bulladors inherited some of the best traits from both of their parents."
bullboxer-pit,"The Bullboxer Pit is a mixed breed dog — a cross between the Boxer and American Pit Bull Terrier dog breeds. Powerful, faithful, and energetic, these pups inherited some of the best traits from both of their parents."
bulldog,"The Bulldog was originally used to drive cattle to market and to compete in a bloody sport called bullbaiting. Today, they’re gentle companions who love kids."
bullmastiff,"The Bullmastiff dog breed is a firm and fearless family guardian. While standoffish toward strangers, they’ve got a soft spot for their loved ones."
bullmatian,"The Bullmatian is a mixed breed dog — a cross between the Bulldog and Dalmatian dog breeds. Loving, energetic, and friendly, these pups inherited some of the best qualities from both of their parents."
cairn-terrier,"The Cairn Terrier dog breed is a small working terrier developed on the Isle of Skye in Scotland. Farmers used them to rid their property of vermin, and they needed a dog with courage, tenacity, and intelligence—characteristics still found in today’s Cairn."
canaan-dog,"The Canaan Dog is a pariah dog that has survived in the desert region of Israel for thousands of years. Believed to be the dog breed that the Hebrews used in biblical times to herd and guard their flocks and encampments, some are still used by Bedouins and Druse for this purpose today."
cane-corso,The Cane Corso is a working dog who absolutely loves having a job to do. This old Italian dog breed was developed to guard property and hunt big game such as wild boar.
cardigan-welsh-corgi,"The Cardigan Welsh Corgi is the older of the two Corgi dog breeds, with dogs of this type believed to have existed in Wales for more than 3,000 years."
carolina-dog,"Indigenous to the United States, the Carolina Dog is a rare, primitive dog breed and relatively new to domesticity. They are medium in size, agile, and independent; they’re also known for being very clean dogs."
catahoula-bulldog,"The Catahoula Bulldog is a mixed breed dog–a cross between the Catahoula Leopard Dog and American Bulldog dog breeds. Agile, energetic, and loyal, these pups inherited some of the best qualities from both of their parents."
catahoula-leopard-dog,"The Catahoula Leopard Dog breed has a striking appearance and a strong work ethic. They’re a tough dog, bred to work in swamps and forests, and they require a leader who is firm and consistent, with time to keep them occupied."
caucasian-shepherd-dog,"Loyal, strong, and courageous, the Caucasian Shepherd Dog is a fierce family protector. They were bred to care for flocks and defend the home against wild predators in the rough Caucasus Mountain region. They’re also known as Caucasian Mountain Dogs, Russian Bear Dogs, Baskhan (Karachay) Pariy, Caucasian Ovcharka Dogs, or just CO, and there are many variants and types."
cav-a-jack,"The Cav-a-Jack is a mixed breed dog–a cross between the Cavalier King Charles Spaniel and Jack Russell Terrier dog breeds. Energetic, friendly, and playful, these pups inherited some of the best qualities from both of their parents."
cavachon,"The Cavachon is a mixed breed dog–a cross between the Cavalier King Charles Spaniel and Bichon Frise dog breeds. Compact, spunky, and full of fun, these pups inherited some of the best traits from both of their parents."
cavador,"The Cavador is a mixed breed dog — a cross between the Cavalier King Charles Spaniel and Labrador Retriever dog breeds. Friendly, loving, and intelligent, these pups inherited some of the best qualities from both of their parents."
cavalier-king-charles-spaniel,"Although they’re born to be a companion, the Cavalier King Charles Spaniel dog breed retains the sporty nature of their spaniel ancestors. If they’re not sitting on a lap or getting a belly rub, nothing makes them happier than to flush a bird and then attempt to retrieve it."
cavapoo,"The Cavapoo is a mixed breed dog — a cross between the Cavalier King Charles Spaniel and Poodle dog breeds. Outgoing, playful, and curious, these pups inherit some of the best traits from both of their parents."
central-asian-shepherd-dog,"The Central Asian Shepherd Dog is a big, strong, and independent dog breed. These purebred dogs go by several other names, including Central Asian Ovtcharka, Middle Asian Ovtcharka, and Mid-Asian Shepherd. One of the oldest breeds, these pups genetics can be traced back over 5,000 years."
cesky-terrier,"The Czech native Cesky Terrier dog breed descends from the Scottish Terrier and Sealyham Terrier. The Cesky Terrier was created to hunt vermin, but with their loving personality, moderate exercise needs, and small size, they make for a great companion dog, too."
chabrador,"The Chabrador is a mixed breed dog–a cross between the Chow Chow and Labrador Retriever dog breeds. Loyal, friendly, and independent, these pups inherited some of the best qualities from both of their parents."
cheagle,"The Cheagle is a mixed breed dog — a cross between the Chihuahua and Beagle dog breeds. Compact, energetic, and loyal, these pups inherited some of the best qualities from both of their parents."
chesapeake-bay-retriever,"The Chesapeake Bay Retriever dog breed originated as a water dog used to hunt and retrieve ducks in the chilly chop of Maryland’s Chesapeake Bay. The dog’s sturdy build, dense coat, stamina, and strength made them ideal for this purpose."
chi-chi,"The Chi Chi is a mixed breed dog — a cross between the Chihuahua and Chinese Crested dog breeds. Small, energetic, and alert, these pups inherited some of the best qualities from both of their parents."
chi-poo,"The Chi-Poo is a mixed breed dog — a cross between the Chihuahua and Toy or Teacup Poodle dog breeds. Compact, energetic, and great with kids, these pups inherited some of the best qualities from both of their parents."
chigi,"The Chigi is a mixed breed dog — a cross between the Chihuahua and Corgi dog breeds. While they may be small, they’re very alert, affectionate, and playful. These pups inherited some of the best qualities from both of their parents."
chihuahua,"The Chihuahua dog breed‘s charms include their small size, big personality, and variety in coat types and colors. They’re all dog, fully capable of competing in dog sports such as agility and obedience, and are among the top ten watchdogs recommended by experts."
chilier,"The Chilier is a mixed breed dog–a cross between the Chihuahua and Cavalier King Charles Spaniel dog breeds. Friendly, sociable, and affectionate, these pups inherited some of the best traits from both of their parents."
chinese-crested,You won’t find a better dog breed than the Chinese Crested to be a couch potato’s companion. They can almost read your mind and will lie in bed for hours without moving a muscle.
chinese-shar-pei,"Though the Chinese Shar-Pei is the 134th breed recognized by the American Kennel Club, the dog breed has been around for hundreds of years. They were developed to guard, hunt, herd, and later on to fight, unfortunately. Today, they’re known for their characteristic short, bristly coat, loose, wrinkled skin, and devotion to their family."
chinook,"Created in the White Mountains of New Hampshire, the Chinook dog breed made its name on Admiral Byrd’s first Antarctic expedition in 1928. These days they’re multipurpose dogs who are happy hiking, competing in agility and other dog sports, pulling a sled or other conveyance, and playing with the kids."
chion,"The Chion is a mixed breed dog — a cross between the Chihuahua and Papillon dog breeds. Petite, playful, and loyal, these pups inherited some of the best qualities from both of their parents"
chipin,"The Chipin is a mixed breed dog — a cross between the Chihuahua and Miniature Pinscher dog breeds. Compact, happy, and fast learners, these pups inherited some of the best qualities from both of their parents. Parental breed research can offer much insight into their temperament and behaviors."
chiweenie,"The Chiweenie is a mixed breed dog — a cross between the Chihuahua and Dachshund dog breeds. Compact, energetic, and loyal, these pups inherited some of the best traits from both of their parents."
chorkie,"The Chorkie is a mixed breed dog–a cross between the Chihuahua and Yorkshire Terrier dog breeds. Playful, devoted, and outgoing, these small pups inherited some of the best traits from both of their parents."
chow-chow,"The distinctive-looking Chow Chow dog breed has a proud, independent spirit that some describe as catlike. They can be aloof — if you’re looking for a cuddle buddy, this probably isn’t the best breed for you — and downright suspicious of strangers. But for the right person, they can be a fiercely loyal companion."
chow-shepherd,"The Chow Shepherd is a mixed breed dog–a cross between the Chow Chow and German Shepherd dog breeds. Medium to large in size, protective, and playful, these pups inherited some of the best traits from both of their parents."
chug,"The Chug is a mixed breed dog — a cross between the Chihuahua and the Pug. Playful, loyal, and small, the Chug has some of the best traits of both of their compact, loving parents."
chusky,"The Chusky is a mixed breed dog — a cross between the Chow Chow and Siberian Husky dog breeds. Curious, headstrong, and loving, these dogs inherited some of the best qualities from both of their parents."
cirneco-delletna,"The Cirneco dell’Etna (Pronounced “cheer-NECK-oh del et-na”) is a purebred dog from the island of Sicily. Gentle, alert, and independent, these pups have some of the best traits of any dog breed around today."
clumber-spaniel,"The Clumber Spaniel dog breed was originally created to find and retrieve game birds for hunters. Today, there is an effort to re-establish the Clumber Spaniel as an exceptional gundog, and many Clumber Spaniels compete in field trials."
cockalier,"The Cockalier is a mixed breed dog — a cross between the Cavalier King Charles Spaniel and Cocker Spaniel dog breeds. Friendly, gentle, and intelligent, these pups inherited some of the best traits from both of their parents."
cockapoo,"An adorable, small dog with the personality of a big clown, the Cockapoo is perhaps the first of the “designer dogs” (not a purebred dog breed), dating back to the 1960s, rather than to just a few years ago."
cocker-spaniel,"The Cocker Spaniel is primarily a beloved companion dog breed, though they remain a capable bird dog at heart. Beautiful to look at–and labor-intensive to groom–the Cocker’s amenable, cheerful disposition also makes them a treat to have in the family."
collie,"The Collie dog breed is a native of Scotland, mostly of the Highland regions but also bred in the Scottish Lowlands and northern England, where they were used primarily as a herding dog. They’re great family companions and are still capable herding dogs."
corgi-inu,"The Corgi Inu is a mixed breed dog — a cross between the Shiba Inu and the Corgi dog breeds. With the adorable looks of a fox, these vigilant, affable pups inherited some of the best qualities from both of their parents."
corgidor,"The Corgidor is a mixed breed dog — a cross between the Corgi and Labrador Retriever dog breeds. Mid-sized, even tempered, and energetic, these pups inherited some of the best traits from both of their parents."
corman-shepherd,"The Corman Shepherd is a mixed breed dog — a cross between the Corgi and the German Shepherd Dog breeds. Loyal, courageous, and a bit stubborn, these pups inherited some of the best qualities from both of their parents."
coton-de-tulear,"Sweet and cuddly with a clownish personality, the Coton de Tulear dog breed is always ready for a good time. This smart little dog with the cottony coat originated in Madagascar and is related to the Bichon Frise and the Maltese."
croatian-sheepdog,"The Croatian Sheepdog is an ancient breed, believed to be developed as far back as the 7th century CE by the Croats as herding dogs. These dogs are nearly identical to their ancient appearance today. Fans of the breed adore their intelligence and energetic disposition."
curly-coated-retriever,"Created to retrieve game from land or water, the Curly-Coated Retriever dog breed was popular with English gamekeepers, hunters, and poachers alike. Today they compete in such dog sports as field trials, agility, obedience, and flyball and have found use as therapy dogs, drug sniffing dogs, and search and rescue dogs."
dachsador,"The Dachsador is a mixed breed dog–a cross between the Dachshund and Labrador Retriever dog breeds. Lively, active, and friendly, these pups inherited some of the best qualities from both of their parents."
dachshund,"Dachshunds are scent hound dogs bred to hunt badgers and other tunneling animals, rabbits, and foxes. Hunters even used packs of Dachshunds to trail wild boar. Today their versatility makes them excellent family companions, show dogs, and small-game hunters."
dalmatian,"Best known as the star of Disney’s 101 Dalmatians, this sleek and athletic Dalmatian dog breed has a history that goes back several hundred years. They started out as a coach dog but also served in many other capacities, including hunter, firehouse dog, and circus performer."
dandie-dinmont-terrier,"Dandie Dinmont Terriers originally were bred to hunt otter and badger. Nicknamed the gentleman of the terrier family, they’re calm and reserved, yet retain their terrier tenacity and love of the hunt."
